; LOWTRAN atmospheric profile 
; No   z[km]     p[mb]       t[K]       O2[ppm]     H2O[ppm]    CO2[ppm]    N2O[ppm]    CO[ppm]     CH4[ppm]
  50  120.00   2.538E-05   3.600E+02   7.250E+04   2.000E-01   3.500E+01   1.851E-04   5.000E+01   3.000E-02
  49  115.00   4.010E-05   3.000E+02   9.400E+04   2.400E-01   4.000E+01   2.120E-04   4.148E+01   6.000E-02
  48  110.00   7.104E-05   2.400E+02   1.200E+05   2.800E-01   6.000E+01   2.443E-04   3.356E+01   9.500E-02
  47  105.00   1.448E-04   2.088E+02   1.400E+05   3.400E-01   1.100E+02   2.837E-04   2.467E+01   1.100E-01
  46  100.00   3.201E-04   1.951E+02   1.600E+05   4.000E-01   1.950E+02   3.323E-04   1.692E+01   1.200E-01
  45   95.00   7.597E-04   1.884E+02   1.800E+05   5.400E-01   2.700E+02   3.932E-04   1.013E+01   1.300E-01
  44   90.00   1.836E-03   1.869E+02   1.900E+05   8.500E-01   3.100E+02   4.708E-04   5.843E+00   1.400E-01
  43   85.00   4.457E-03   1.889E+02   2.000E+05   1.330E+00   3.200E+02   5.716E-04   3.239E+00   1.500E-01
  42   80.00   1.052E-02   1.986E+02   2.090E+05   2.050E+00   3.280E+02   7.056E-04   1.497E+00   1.500E-01
  41   75.00   2.388E-02   2.084E+02   2.090E+05   2.825E+00   3.300E+02   8.890E-04   6.375E-01   1.500E-01
  40   70.00   5.221E-02   2.196E+02   2.090E+05   3.500E+00   3.300E+02   1.149E-03   3.059E-01   1.500E-01
  39   65.00   1.093E-01   2.333E+02   2.090E+05   4.200E+00   3.300E+02   1.507E-03   1.862E-01   1.500E-01
  38   60.00   2.196E-01   2.470E+02   2.090E+05   4.750E+00   3.300E+02   2.065E-03   1.073E-01   1.500E-01
  37   55.00   4.252E-01   2.608E+02   2.090E+05   5.100E+00   3.300E+02   3.000E-03   6.639E-02   1.650E-01
  36   50.00   7.978E-01   2.706E+02   2.090E+05   5.225E+00   3.300E+02   4.752E-03   4.597E-02   2.100E-01
  35   47.50   1.089E+00   2.706E+02   2.090E+05   5.250E+00   3.300E+02   9.378E-03   3.717E-02   2.773E-01
  34   45.00   1.491E+00   2.642E+02   2.090E+05   5.225E+00   3.300E+02   1.591E-02   3.241E-02   3.631E-01
  33   42.50   2.060E+00   2.573E+02   2.090E+05   5.150E+00   3.300E+02   2.751E-02   2.824E-02   4.614E-01
  32   40.00   2.871E+00   2.504E+02   2.090E+05   5.025E+00   3.300E+02   4.513E-02   2.497E-02   5.638E-01
  31   37.50   4.041E+00   2.434E+02   2.090E+05   4.950E+00   3.300E+02   6.693E-02   2.220E-02   6.618E-01
  30   35.00   5.746E+00   2.365E+02   2.090E+05   4.900E+00   3.300E+02   9.275E-02   2.009E-02   7.460E-01
  29   32.50   8.258E+00   2.296E+02   2.090E+05   4.825E+00   3.300E+02   1.165E-01   1.850E-02   8.300E-01
  28   30.00   1.197E+01   2.265E+02   2.090E+05   4.725E+00   3.300E+02   1.416E-01   1.710E-02   9.136E-01
  27   27.50   1.743E+01   2.240E+02   2.090E+05   4.575E+00   3.300E+02   1.588E-01   1.598E-02   9.870E-01
  26   25.00   2.549E+01   2.216E+02   2.090E+05   4.425E+00   3.300E+02   1.756E-01   1.498E-02   1.055E+00
  25   24.00   2.972E+01   2.206E+02   2.090E+05   4.300E+00   3.300E+02   1.875E-01   1.400E-02   1.118E+00
  24   23.00   3.467E+01   2.196E+02   2.090E+05   4.200E+00   3.300E+02   1.967E-01   1.307E-02   1.191E+00
  23   22.00   4.047E+01   2.186E+02   2.090E+05   4.065E+00   3.300E+02   2.051E-01   1.232E-02   1.272E+00
  22   21.00   4.729E+01   2.176E+02   2.090E+05   3.975E+00   3.300E+02   2.194E-01   1.232E-02   1.355E+00
  21   20.00   5.529E+01   2.166E+02   2.090E+05   3.900E+00   3.300E+02   2.365E-01   1.331E-02   1.424E+00
  20   19.00   6.467E+01   2.166E+02   2.090E+05   3.850E+00   3.300E+02   2.527E-01   1.549E-02   1.480E+00
  19   18.00   7.565E+01   2.166E+02   2.090E+05   3.825E+00   3.300E+02   2.671E-01   1.966E-02   1.521E+00
  18   17.00   8.850E+01   2.166E+02   2.090E+05   3.850E+00   3.300E+02   2.783E-01   2.489E-02   1.553E+00
  17   16.00   1.035E+02   2.166E+02   2.090E+05   3.950E+00   3.300E+02   2.877E-01   3.069E-02   1.582E+00
  16   15.00   1.211E+02   2.166E+02   2.090E+05   5.000E+00   3.300E+02   2.944E-01   3.941E-02   1.605E+00
  15   14.00   1.417E+02   2.166E+02   2.090E+05   5.927E+00   3.300E+02   2.999E-01   5.025E-02   1.626E+00
  14   13.00   1.658E+02   2.166E+02   2.090E+05   1.085E+01   3.300E+02   3.048E-01   6.374E-02   1.645E+00
  13   12.00   1.940E+02   2.166E+02   2.090E+05   1.906E+01   3.300E+02   3.095E-01   7.814E-02   1.662E+00
  12   11.00   2.270E+02   2.168E+02   2.090E+05   3.613E+01   3.300E+02   3.140E-01   8.964E-02   1.675E+00
  11   10.00   2.650E+02   2.233E+02   2.090E+05   6.996E+01   3.300E+02   3.179E-01   9.962E-02   1.685E+00
  10    9.00   3.080E+02   2.297E+02   2.090E+05   1.583E+02   3.300E+02   3.195E-01   1.094E-01   1.693E+00
   9    8.00   3.565E+02   2.362E+02   2.090E+05   3.667E+02   3.300E+02   3.200E-01   1.185E-01   1.697E+00
   8    7.00   4.110E+02   2.427E+02   2.090E+05   5.720E+02   3.300E+02   3.200E-01   1.247E-01   1.699E+00
   7    6.00   4.722E+02   2.492E+02   2.090E+05   9.254E+02   3.300E+02   3.200E-01   1.288E-01   1.700E+00
   6    5.00   5.405E+02   2.557E+02   2.090E+05   1.397E+03   3.300E+02   3.200E-01   1.303E-01   1.700E+00
   5    4.00   6.166E+02   2.622E+02   2.090E+05   2.158E+03   3.300E+02   3.200E-01   1.312E-01   1.700E+00
   4    3.00   7.012E+02   2.687E+02   2.090E+05   3.182E+03   3.300E+02   3.200E-01   1.349E-01   1.700E+00
   3    2.00   7.950E+02   2.752E+02   2.090E+05   4.631E+03   3.300E+02   3.200E-01   1.399E-01   1.700E+00
   2    1.00   8.988E+02   2.817E+02   2.090E+05   6.071E+03   3.300E+02   3.200E-01   1.450E-01   1.700E+00
   1     .00   1.013E+03   2.881E+02   2.090E+05   7.745E+03   3.300E+02   3.200E-01   1.500E-01   1.700E+00
